SID,YEAR,MONTH,DAY,HOUR,LAT,LON,DELTA_LAT_6h,DELTA_LON_6h,TARGET_WIND_6h,DELTA_LAT_12h,DELTA_LON_12h,TARGET_WIND_12h,DELTA_LAT_24h,DELTA_LON_24h,TARGET_WIND_24h
2015085N06162,2015,4,2,18,13.7,131.9,0.3000000000000007,-0.8000000000000114,0.0,0.40000000000000036,-1.9000000000000057,-5.0,0.6000000000000014,-4.1000000000000085,-10.0
2015085N06162,2015,4,3,0,14.0,131.1,0.09999999999999964,-1.0999999999999943,-5.0,0.1999999999999993,-2.0999999999999943,-10.0,0.6999999999999993,-4.599999999999994,-15.0
2015085N06162,2015,4,3,6,14.1,130.0,0.09999999999999964,-1.0,-5.0,0.20000000000000107,-2.200000000000003,-5.0,1.0,-4.900000000000006,-25.0
2015085N06162,2015,4,3,12,14.2,129.0,0.10000000000000142,-1.2000000000000028,0.0,0.5,-2.5,-5.0,1.4000000000000004,-5.0,-25.0
2015085N06162,2015,4,3,18,14.3,127.8,0.3999999999999986,-1.2999999999999972,-5.0,0.7999999999999989,-2.700000000000003,-20.0,1.6999999999999993,-4.599999999999994,-35.0
2015085N06162,2015,4,4,0,14.7,126.5,0.40000000000000036,-1.4000000000000057,-15.0,0.9000000000000004,-2.5,-20.0,1.6000000000000014,-4.0,-35.0
2015085N06162,2015,4,4,6,15.1,125.1,0.5,-1.0999999999999943,-5.0,0.9000000000000004,-1.8999999999999915,-15.0,,,
2015085N06162,2015,4,4,12,15.6,124.0,0.40000000000000036,-0.7999999999999972,-10.0,0.7000000000000011,-1.5,-15.0,,,
2015085N06162,2015,4,4,18,16.0,123.2,0.3000000000000007,-0.7000000000000028,-5.0,,,,,,
2015085N06162,2015,4,5,0,16.3,122.5,,,,,,,,,
2015122N07144,2015,5,3,18,9.5,140.8,0.09999999999999964,-0.5,0.0,0.09999999999999964,-0.8000000000000114,0.0,0.0,-1.4000000000000057,5.0
2015122N07144,2015,5,4,0,9.6,140.3,0.0,-0.30000000000001137,0.0,0.0,-0.6000000000000227,5.0,-0.09999999999999964,-1.200000000000017,10.0
2015122N07144,2015,5,4,6,9.6,140.0,0.0,-0.30000000000001137,5.0,-0.09999999999999964,-0.5999999999999943,5.0,-0.09999999999999964,-1.1999999999999886,10.0
2015122N07144,2015,5,4,12,9.6,139.7,-0.09999999999999964,-0.29999999999998295,0.0,-0.09999999999999964,-0.5999999999999943,5.0,-0.1999999999999993,-1.0999999999999943,10.0
2015122N07144,2015,5,4,18,9.5,139.4,0.0,-0.30000000000001137,5.0,0.0,-0.5999999999999943,5.0,-0.09999999999999964,-1.200000000000017,20.0
2015122N07144,2015,5,5,0,9.5,139.1,0.0,-0.29999999999998295,0.0,-0.09999999999999964,-0.5,5.0,-0.09999999999999964,-1.4000000000000057,15.0
2015122N07144,2015,5,5,6,9.5,138.8,-0.09999999999999964,-0.20000000000001705,5.0,-0.09999999999999964,-0.6000000000000227,15.0,0.0,-1.9000000000000057,20.0
2015122N07144,2015,5,5,12,9.4,138.6,0.0,-0.4000000000000057,10.0,0.0,-0.9000000000000057,10.0,0.40000000000000036,-2.5999999999999943,25.0
2015122N07144,2015,5,5,18,9.4,138.2,0.0,-0.5,0.0,0.09999999999999964,-1.299999999999983,5.0,0.6999999999999993,-3.0,20.0
2015122N07144,2015,5,6,0,9.4,137.7,0.09999999999999964,-0.799999999999983,5.0,0.40000000000000036,-1.6999999999999886,15.0,1.1999999999999993,-3.3999999999999773,20.0
2015122N07144,2015,5,6,6,9.5,136.9,0.3000000000000007,-0.9000000000000057,10.0,0.5999999999999996,-1.700000000000017,15.0,1.8000000000000007,-3.8000000000000114,15.0
2015122N07144,2015,5,6,12,9.8,136.0,0.29999999999999893,-0.8000000000000114,5.0,0.7999999999999989,-1.6999999999999886,5.0,1.799999999999999,-3.9000000000000057,10.0
2015122N07144,2015,5,6,18,10.1,135.2,0.5,-0.8999999999999773,0.0,1.200000000000001,-2.0999999999999943,0.0,1.700000000000001,-4.0,5.0
2015122N07144,2015,5,7,0,10.6,134.3,0.7000000000000011,-1.200000000000017,0.0,1.0,-2.200000000000017,5.0,1.5,-4.100000000000023,5.0
2015122N07144,2015,5,7,6,11.3,133.1,0.29999999999999893,-1.0,5.0,0.5,-1.9000000000000057,5.0,1.299999999999999,-3.9000000000000057,5.0
2015122N07144,2015,5,7,12,11.6,132.1,0.20000000000000107,-0.9000000000000057,0.0,0.5,-1.9000000000000057,0.0,1.700000000000001,-4.099999999999994,0.0
2015122N07144,2015,5,7,18,11.8,131.2,0.29999999999999893,-1.0,0.0,0.7999999999999989,-2.0,0.0,1.8999999999999986,-4.099999999999994,0.0
2015122N07144,2015,5,8,0,12.1,130.2,0.5,-1.0,0.0,1.200000000000001,-2.1999999999999886,0.0,2.200000000000001,-3.999999999999986,0.0
2015122N07144,2015,5,8,6,12.6,129.2,0.7000000000000011,-1.1999999999999886,0.0,1.0999999999999996,-2.0999999999999943,0.0,2.3000000000000007,-3.999999999999986,5.0
2015122N07144,2015,5,8,12,13.3,128.0,0.3999999999999986,-0.9000000000000057,0.0,1.0,-1.7999999999999972,0.0,2.0999999999999996,-3.4000000000000057,5.0
2015122N07144,2015,5,8,18,13.7,127.1,0.6000000000000014,-0.8999999999999915,0.0,1.200000000000001,-1.8999999999999915,5.0,2.400000000000002,-3.1999999999999886,15.0
2015122N07144,2015,5,9,0,14.3,126.2,0.5999999999999996,-1.0,5.0,1.0999999999999996,-1.6000000000000085,5.0,2.6999999999999993,-2.9000000000000057,25.0
2015122N07144,2015,5,9,6,14.9,125.2,0.5,-0.6000000000000085,0.0,1.200000000000001,-1.2999999999999972,10.0,2.9000000000000004,-2.6000000000000085,20.0
2015122N07144,2015,5,9,12,15.4,124.6,0.7000000000000011,-0.6999999999999886,10.0,1.5999999999999996,-1.2999999999999972,20.0,3.200000000000001,-2.299999999999997,15.0
2015122N07144,2015,5,9,18,16.1,123.9,0.8999999999999986,-0.6000000000000085,10.0,1.6999999999999993,-1.3000000000000114,10.0,3.5,-1.9000000000000057,0.0
2015122N07144,2015,5,10,0,17.0,123.3,0.8000000000000007,-0.7000000000000028,0.0,1.6000000000000014,-1.0,-5.0,3.6000000000000014,-1.2999999999999972,-20.0
2015122N07144,2015,5,10,6,17.8,122.6,0.8000000000000007,-0.29999999999999716,-5.0,1.8000000000000007,-0.5999999999999943,-10.0,3.8999999999999986,-0.29999999999999716,-30.0
2015122N07144,2015,5,10,12,18.6,122.3,1.0,-0.29999999999999716,-5.0,2.0,-0.29999999999999716,-15.0,4.699999999999999,1.2000000000000028,-35.0
2015122N07144,2015,5,10,18,19.6,122.0,1.0,0.0,-10.0,2.099999999999998,0.29999999999999716,-20.0,6.0,3.5999999999999943,-35.0
2015122N07144,2015,5,11,0,20.6,122.0,1.0999999999999979,0.29999999999999716,-10.0,2.6999999999999993,1.5,-20.0,7.399999999999999,6.5,-25.0
2015122N07144,2015,5,11,6,21.7,122.3,1.6000000000000014,1.2000000000000028,-10.0,3.900000000000002,3.299999999999997,-15.0,,,
2015122N07144,2015,5,11,12,23.3,123.5,2.3000000000000007,2.0999999999999943,-5.0,4.699999999999999,5.0,-5.0,,,
2015122N07144,2015,5,11,18,25.6,125.6,2.3999999999999986,2.9000000000000057,0.0,,,,,,
2015122N07144,2015,5,12,0,28.0,128.5,,,,,,,,,
2015127N04158,2015,5,9,12,5.3,162.0,0.40000000000000036,-0.8000000000000114,0.0,1.0,-1.6999999999999886,0.0,2.3,-1.9000000000000057,5.0
2015127N04158,2015,5,9,18,5.7,161.2,0.5999999999999996,-0.8999999999999773,0.0,1.0999999999999996,-1.0999999999999943,0.0,2.8,-1.1999999999999886,5.0
2015127N04158,2015,5,10,0,6.3,160.3,0.5,-0.20000000000001705,0.0,1.2999999999999998,-0.20000000000001705,5.0,2.8999999999999995,-0.5,5.0
2015127N04158,2015,5,10,6,6.8,160.1,0.7999999999999998,0.0,5.0,1.7000000000000002,-0.09999999999999432,5.0,3.000000000000001,-0.29999999999998295,5.0
2015127N04158,2015,5,10,12,7.6,160.1,0.9000000000000004,-0.09999999999999432,0.0,1.5999999999999996,-0.29999999999998295,0.0,2.4000000000000004,-0.799999999999983,0.0
2015127N04158,2015,5,10,18,8.5,160.0,0.6999999999999993,-0.19999999999998863,0.0,1.3000000000000007,-0.19999999999998863,0.0,1.5999999999999996,-1.0999999999999943,5.0
2015127N04158,2015,5,11,0,9.2,159.8,0.6000000000000014,0.0,0.0,0.8000000000000007,-0.5,0.0,0.9000000000000004,-1.4000000000000057,10.0
2015127N04158,2015,5,11,6,9.8,159.8,0.1999999999999993,-0.5,0.0,0.29999999999999893,-0.9000000000000057,5.0,0.29999999999999893,-1.8000000000000114,15.0
2015127N04158,2015,5,11,12,10.0,159.3,0.09999999999999964,-0.4000000000000057,5.0,0.09999999999999964,-0.9000000000000057,10.0,-0.09999999999999964,-1.8000000000000114,15.0
2015127N04158,2015,5,11,18,10.1,158.9,0.0,-0.5,5.0,0.0,-0.9000000000000057,10.0,-0.1999999999999993,-2.0,10.0
